DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft
1935-02-01,Brühl,1935,2,16.99974046197768,0.0
1936-02-01,Brühl,1936,2,17.700269635557103,0.0
1932-02-01,Bunzlau,1932,2,79.00127332115373,0.0
1933-02-01,Bunzlau,1933,2,47.67195767195767,0.0
1934-02-01,Bunzlau,1934,2,19.510446538303974,0.0
1935-02-01,Bunzlau,1935,2,28.60050890585242,0.0
1936-02-01,Bunzlau,1936,2,33.49477440734132,0.0
1932-02-01,Burg,1932,2,71.29455909943715,0.0
1933-02-01,Burg,1933,2,38.16577626679618,0.0
1934-02-01,Burg,1934,2,19.596796909581105,0.0
1935-02-01,Burg,1935,2,11.342155009451796,0.0
1936-02-01,Burg,1936,2,6.821943244661527,0.0
1932-02-01,Calbe a. d. Saale,1932,2,45.30157908361377,0.0
1933-02-01,Calbe a. d. Saale,1933,2,22.953328232593726,0.0
1934-02-01,Calbe a. d. Saale,1934,2,18.414193222904228,0.0
1935-02-01,Calbe a. d. Saale,1935,2,35.99229932200552,0.0
1936-02-01,Calbe a. d. Saale,1936,2,32.59594436065024,0.0
1932-02-01,Castrop-Rauxel,1932,2,69.79576541127975,0.0
1933-02-01,Castrop-Rauxel,1933,2,32.20147851146473,0.0
1934-02-01,Castrop-Rauxel,1934,2,20.52267885904297,0.0
1935-02-01,Castrop-Rauxel,1935,2,14.62747184727486,0.0
1936-02-01,Castrop-Rauxel,1936,2,23.720970091695946,0.0
1932-02-01,Celle,1932,2,55.59909098033069,0.0
1933-02-01,Celle,1933,2,36.373810856183546,0.0
1934-02-01,Celle,1934,2,3.4213274750603238,0.0
1935-02-01,Celle,1935,2,13.114392770553229,0.0
1936-02-01,Celle,1936,2,6.55514561020167,0.0
1932-02-01,Chemnitz,1932,2,72.9000735432044,0.0
1933-02-01,Chemnitz,1933,2,63.68358920662361,0.0
1934-02-01,Chemnitz,1934,2,47.66281213721518,0.0
1935-02-01,Chemnitz,1935,2,44.42674795634105,0.0
1936-02-01,Chemnitz,1936,2,42.19203410287358,0.0
1932-02-01,Clausthal-Zellerfeld,1932,2,43.000401123144805,0.0
1933-02-01,Clausthal-Zellerfeld,1933,2,29.56244226085496,0.0
1934-02-01,Clausthal-Zellerfeld,1934,2,16.190807799442894,0.0
1935-02-01,Clausthal-Zellerfeld,1935,2,18.314695782336884,0.0
1936-02-01,Clausthal-Zellerfeld,1936,2,3.373410604618978,0.0
1932-02-01,Cleve,1932,2,36.80273365349095,0.0
1933-02-01,Cleve,1933,2,20.858055682336833,0.0
1934-02-01,Cleve,1934,2,13.43830595900638,0.0
1935-02-01,Cleve,1935,2,22.503833318300714,0.0
1936-02-01,Cleve,1936,2,24.681887916253046,0.0
1932-02-01,Coburg,1932,2,71.19714887412927,0.0
1933-02-01,Coburg,1933,2,55.41094809906925,0.0
1934-02-01,Coburg,1934,2,46.49183878703489,0.0
1935-02-01,Coburg,1935,2,50.50976729706592,0.0
1936-02-01,Coburg,1936,2,42.12575433132179,0.0
1932-02-01,Coesfeld,1932,2,38.00207756232687,0.0
1933-02-01,Coesfeld,1933,2,26.722472633612366,0.0
1934-02-01,Coesfeld,1934,2,5.199969411944636,0.0
1935-02-01,Coesfeld,1935,2,16.6988790104368,0.0
1936-02-01,Coesfeld,1936,2,19.805825242718445,0.0
