DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft,i
1933-02-01,Brackwede,1933,2,48.0974606439364,0.0,70
1934-02-01,Brackwede,1934,2,16.559058108621347,0.0,70
1935-02-01,Brackwede,1935,2,20.001532684496894,0.0,70
1936-02-01,Brackwede,1936,2,17.50076757752533,0.0,70
1932-02-01,Braunsberg,1932,2,51.79794520547945,0.0,71
1933-02-01,Braunsberg,1933,2,48.497736314995194,0.0,71
1934-02-01,Braunsberg,1934,2,2.8,0.0,71
1935-02-01,Braunsberg,1935,2,16.292590589507842,0.0,71
1936-02-01,Braunsberg,1936,2,38.454167997444905,0.0,71
1932-02-01,Bremerhaven,1932,2,82.7014118731409,0.0,72
1933-02-01,Bremerhaven,1933,2,69.6798493408663,0.0,72
1934-02-01,Bremerhaven,1934,2,57.424436425716834,0.0,72
1935-02-01,Bremerhaven,1935,2,59.39864209505335,0.0,72
1936-02-01,Bremerhaven,1936,2,31.893043983724084,0.0,72
1932-02-01,Breslau,1932,2,64.19980974625615,0.0,73
1933-02-01,Breslau,1933,2,49.617638360313684,0.0,73
1934-02-01,Breslau,1934,2,48.65844629955834,0.0,73
1935-02-01,Breslau,1935,2,52.72981054276073,0.0,73
1936-02-01,Breslau,1936,2,56.5986982731705,0.0,73
1932-02-01,Brieg,1932,2,59.59998537423672,0.0,74
1933-02-01,Brieg,1933,2,38.5429314830876,0.0,74
1934-02-01,Brieg,1934,2,29.06588266737939,0.0,74
1935-02-01,Brieg,1935,2,38.79975834060549,0.0,74
1936-02-01,Brieg,1936,2,57.80773228716092,0.0,74
1932-02-01,Bruchsal,1932,2,52.104208416833664,0.0,75
1933-02-01,Bruchsal,1933,2,39.22856460472892,0.0,75
1934-02-01,Bruchsal,1934,2,50.47765066635217,0.0,75
1935-02-01,Bruchsal,1935,2,40.38313723171525,0.0,75
1936-02-01,Bruchsal,1936,2,34.195605953224664,0.0,75
1932-02-01,Brühl,1932,2,48.70102032067221,0.0,76
1933-02-01,Brühl,1933,2,31.177574219181107,0.0,76
1934-02-01,Brühl,1934,2,21.63974398049375,0.0,76
1935-02-01,Brühl,1935,2,16.99974046197768,0.0,76
1936-02-01,Brühl,1936,2,17.700269635557103,0.0,76
1932-02-01,Bunzlau,1932,2,79.00127332115373,0.0,77
1933-02-01,Bunzlau,1933,2,47.67195767195767,0.0,77
1934-02-01,Bunzlau,1934,2,19.510446538303974,0.0,77
1935-02-01,Bunzlau,1935,2,28.60050890585242,0.0,77
1936-02-01,Bunzlau,1936,2,33.49477440734132,0.0,77
1932-02-01,Burg,1932,2,71.29455909943715,0.0,78
1933-02-01,Burg,1933,2,38.16577626679618,0.0,78
1934-02-01,Burg,1934,2,19.596796909581105,0.0,78
1935-02-01,Burg,1935,2,11.342155009451796,0.0,78
1936-02-01,Burg,1936,2,6.821943244661527,0.0,78
1932-02-01,Calbe a. d. Saale,1932,2,45.30157908361377,0.0,79
1933-02-01,Calbe a. d. Saale,1933,2,22.953328232593726,0.0,79
1934-02-01,Calbe a. d. Saale,1934,2,18.414193222904228,0.0,79
1935-02-01,Calbe a. d. Saale,1935,2,35.99229932200552,0.0,79
1936-02-01,Calbe a. d. Saale,1936,2,32.59594436065024,0.0,79
1932-02-01,Castrop-Rauxel,1932,2,69.79576541127975,0.0,80
1933-02-01,Castrop-Rauxel,1933,2,32.20147851146473,0.0,80
1934-02-01,Castrop-Rauxel,1934,2,20.52267885904297,0.0,80
1935-02-01,Castrop-Rauxel,1935,2,14.62747184727486,0.0,80
1936-02-01,Castrop-Rauxel,1936,2,23.720970091695946,0.0,80
1932-02-01,Celle,1932,2,55.59909098033069,0.0,81
1933-02-01,Celle,1933,2,36.373810856183546,0.0,81
1934-02-01,Celle,1934,2,3.4213274750603238,0.0,81
1935-02-01,Celle,1935,2,13.114392770553229,0.0,81
1936-02-01,Celle,1936,2,6.55514561020167,0.0,81
1932-02-01,Chemnitz,1932,2,72.9000735432044,0.0,82
1933-02-01,Chemnitz,1933,2,63.68358920662361,0.0,82
1934-02-01,Chemnitz,1934,2,47.66281213721518,0.0,82
1935-02-01,Chemnitz,1935,2,44.42674795634105,0.0,82
1936-02-01,Chemnitz,1936,2,42.19203410287358,0.0,82
1932-02-01,Clausthal-Zellerfeld,1932,2,43.000401123144805,0.0,83
1933-02-01,Clausthal-Zellerfeld,1933,2,29.56244226085496,0.0,83
1934-02-01,Clausthal-Zellerfeld,1934,2,16.190807799442894,0.0,83
1935-02-01,Clausthal-Zellerfeld,1935,2,18.314695782336884,0.0,83
1936-02-01,Clausthal-Zellerfeld,1936,2,3.373410604618978,0.0,83
1932-02-01,Cleve,1932,2,36.80273365349095,0.0,84
